address,points
0x49dcf20678b3b3cbdacf1cee7acbeba6b365609a,1
0xd6bed633803a2f0a060df681d0844bc1b3ff1c75,3
0x4a1f70f63cbd77dbb7e4405e9ba30fe32d22f4e5,5
0x95e7331e6db08b847ef6daebd34d1ef76a3f4665,5
0xe21be1bf82e43168ccd5b9a2d4010fa48a989314,2
0xf1041b8bf2ef11b3c91daac388ecbd9479bbddcf,4
0xe843740e421233932b7c40af3102a2f23fb415a7,1
0x360006fbc28958f5289c3d3f872eb9bcc3468bad,10
0xce3a65e7701e682e42d233120be9fb125e29e691,4
0xa5e6f3cf3a0d85902d2cfb0c631ad37fc0e83079,8
0x83e1e7d4afa49c69bc3e7daa1ba8c3857f70964e,3
0x567bf027d5b148dc11193b55a55844737e6e6ded,2
0xe6a043f68eb52365869fb117c758af9affaaf461,3
0x1c6f2e0b66f7e31554e174d603bf6dfec7c426f4,1
0xf54d9b1f60bd918b746702ae17d4c1f76d3e1eb1,2
0xe4ad52868492c281c206520569d90ce977223ab1,12
0xceb2ab435c2be15467fc3297791d834f2efc9b16,2
0x86b7cb350d00991f4bab715c2a6136b6ebfcf644,4
0xe59038e8345c2b801ae7d5ffe7c320ff6030f6e2,7
0x17fb38bba4413f937365b061d550105538e6c556,4
0x713201394bc7b6c2b412528975d25281752fb5c4,1
0x7f8efdcc4658beab9394750b178726bd2ec75ef7,9
0xf36ccab924910bfceddce38377ca9e764b86c272,7
0xfe6900f6ef3913c0618627b6bdaa8edbca0a84a3,10
0x649fa8099308de8a4a8118ee96a51c54f81325d6,7
0xfb82b0e2af6abedbf0263f3299d4f9d55a4c7313,6
0xd6a3b779850fc5fd22900263d212bfe9eaee37e3,12
0xc6fbe5f7c285de615b597b02ec096340508d69f2,1
0x275b1224eaca17e04e8c160259867a937e8af249,11
0x5eb417bf8796862662464bf2b8c202f71f14ae62,4
0x6814a814e5675cede4ac74fac2810131898cc573,3
0xe0b2add5c2d094008d014369ab6bc5c42cf3acad,9
0x8dafc11be620d183dff019bde98d8b96db395cf5,1
0x2e5095ab71f4be67e24e05fc768d525a00c7d1d3,4
0x79d9398006edf16a0c21864f3a8b4ec23802fa11,2
0x0505e02a042b1c45e2ba6fc154b846831707ab3b,8
0x67eafdf150a6413fbb3af473b9b56b62af444eda,12
0x72a8915eaa7cf2709dc89cbb3837a098c9d70e09,12
0xad6516ede1ce473de3f26c0302bad686a8462e3c,4
0x75e7a9d4f6c6fdb2b7f637f46f00d0208133dcf6,9
0xc47d80d65d418f4172485ee08ae87edf72472889,5
0x412144516d17942e1c5dbaf34b414ac4c4971d66,3
0x82c246e97ebe84ce1adfec38c5639425f016909d,4
0xa9346134f64aa030d669e49694400953daa5fd40,5
0x1140321cce279b4a2158571eb377669def562ac4,3
0x866d8ec5e7072d9ed50b3e535d3de7afd51f689a,9
0xab63a9d0de24d1ca8ee6408cb8ab6f08a66d4bcc,1
0x0464a1d2b6369c56be5f116530b0719716e7ce7b,12
0x3c935902de787966b2107550460ff3c10c0e7fbe,7
0x3fd276b258dbbf0976421c126720defcbb28b79f,10
0x6668f693da7ed42dac06b06a2d7c908cab6c20c3,10
0xc665c48255609548274e9ce5aaddf4c5c6966c47,5
0xd3e14d46ee219ff85174c076ddfbb7f99dd0f9b0,10
0xa8435c600d7588333b1e26a7ba9890620d0e27f7,8
0x7e7b57391bb18852ea1644397d5afb5ed41ba9cf,7
0x10e167c2d1d958e01aae25d6615e67b25d4759af,9
0x9b34256815f7107f5833afffcabacf71993fd8ca,5
0x4be5a3092c3b9b84b0049fbb6958a3188d9e42e3,7
0xa062515ed61f47f6e6ade4c2179acade8e029cd2,2
0xc3e3445e91f134f2fc8f81b95221c898d91a35af,7
0x7a3725c7e0875723c982836cb8606f22858f5f99,5
0x1d11f466d51ced7f27123c11566a233347aa39b8,7
0x7bc40a9020c77aa6ea1c720fd2a38c1e364fbbf1,7
0xccd724b9af92a3a389150334556330efd3f59487,11
0x9c2735e03d03dd285951bc335683151feb456e00,6
0x2d68dac4f0b7d03d58fce56618f2cc106b971a39,1
0x349cf49ede5dfd65b7d69a12313e7f93f99be9ab,4
0x1af56a4dfed69fc0f77fb5f49e70e9841feea761,3
0x4cbab6975cfc59e992f80cc8ae866cc878d56950,2
0x0aad30f04556d74efdd9923ff5169d2e78a9d871,1
0xe6044dcb1becc168349dd72dbed4548bf6ddd672,5
0x0ed7dc5829467fdfe2931c76dd92aa3b424ce791,7
0xc37e705f34801896121b2da24327332cb7dc2ca7,11
0xf782fceac18e19437ddbfd510783b9cc5e46eb58,2
0x619a1e7292763a0cb868feff7a7d9ad9512cfe0b,3
0xeef7586e92ecbc2bafca4d7f76d88fca770fd938,2
0xc43c7a58e1fc83fad330de8e0584d3c001e49314,2
0xe3621ef90a0684b562faecceb9295c8730c84ad1,3
0x0f10bddebcffbf2f38b58ecbb94f5cecec4aba3e,2
0x9c499979c5605f83b27d5be56b4943fbdf8fe2c3,3
0x84d7b59c75123aed485c50fb6684a4a47dedc4ff,15
0xb92a8d700b990ff8ccf5452394474e09e46e62e7,5
0xefc8d05a780e052d2969f3d268f05c0d7032ff76,7
0xc63fcd31df018bb0a2992e3a58a376059772eea4,2
0x2882418e2310d760dfb80b8da7ca2ccf6cbbbb17,10
0x29a493ab598dca8b17e6dace1a3359012225b0bc,2
0xc4a198f7aa5acd9bda8f13738d22ba38baf80933,1
0xcb90856332361648675c8f5c042808275bf7263e,2
0x66f8304c23c078e5073731ab95872b55b11f1b66,2
0xb852f337dd15626917317e4b7dbe7b19f2982dd2,6
0x6a2f4e5c657223b48f960e36c299f3a210975c78,1
0x98a2ab9b27c114f12d523e46c0f745dcc70818b9,1
0x8eae81edd2408c31bd8fef455d2ba4b5d951a131,4
0x0028112a819a2fea8802b27c8abd755152f548ba,1
0xc6ee0aeb0293109a9c37df1de2ebac85aa58a495,1
0x7577b039dc7a4be4c94988d5cab78222fd0723f7,2
0x81e007cc5734bb94d2fc7e50c1f2d4303844ca64,2
0xf05b0bd4366786fe026e8710c3f9140befb7479a,2
0x1db169288ede26c39e9283fa7aab34bcf556b1ba,2
0xb471dded6db7eb08507ca44bf1f09d38f105cc7b,2
0x147e11b9ea253f2720fffb57111c0e929ff808b1,1
0x0b41078fe96ad555b13eed39f30d2c7d264fdaf5,9
0xfeb06507e3749a49a9ea331a81037b78bb293305,7
