address,points
0xd9d07abecba751daf94954c6b84413564e8df0d1,11
0xc8cbe25381d08ef1302d26fdab23ab455c6c79e9,8
0x77259366ba576cb32c3ccaa211192d276352e3ad,7
0x6967871e905bee43ead97f5c53375d5e06c35964,2
0x85efe1f49dd371a9132739ef578d8f155cd518d2,1
0x9d23de5540a3a1dfbf24d391a9427b2be3797c8c,1
0x2a1f193a105d93181e7754c9d01b6fe5e4dcbc7d,1
0xb3eab4fd4fcfa575b6f3e954a5ebeb212ed947f2,2
0xc9b2fb653bd035917fad6d28284b96a7d8b84e8e,11
0xf144a4b6cbc16402275c5c2b58a1d853f38b2ad9,2
0x17c497aab876553c1fb8e73f05cf4b6aca7559a7,5
0x1df2535cf0956abec21c4738534885d3849d6578,3
0x3bafdd839b46d364d39c0f4698e5732707da39e3,5
0x962ba7660061ccb500dffb48cbcad33dd063cd70,5
0xdf36f93cf2856371e908f9bf1eb97671d9b318a9,2
0xc992cceea40c1ef9390d1f754b55600dca2d58d3,2
0xc88275ec7bb810bd81e1eda0df2308b450cfbfc9,4
0xfdf3b3b1cfe5f4967daba1719693d589ba790c1c,15
0x129372c7e496b8353bd4e794190dc547ea0b7235,1
0x638a0d55c184aae3d227d656be5e8d269bf5373c,11
0x467357fc24fdd5429f96ad84b43a2f9f6947e9a1,5
0x63c2c6bc822cac9de857193ed42edf3ad0ba5243,5
0x0386a00f185e7253f12cc009aa7f0531a91e603a,6
0x8e29d26155c6e7acb597495dfcf4a8831ed57c41,1
0xb3ae8a00ae7e0c18f81d2b966b6e174f6eebecc4,5
0xb95f9b86beea596151492c1a0e9dd816d814e708,4
0x253ba75e555ad49f78f829c9aaf63a33c4b85c0b,4
0xe8104818c4b773a9271554cdce83f0459c4933c0,1
0x54e02ee47671fb0487824ec5d77bf451913922f1,5
0x7ad9ecd7940b6a49119b6ce4b14bec6c4dbd36fd,4
0xbef531e19152d3a9490d6c2ff152570def53407f,5
0xeb9219e47f690b9604f8ddab92dc4a4047650022,3
0x6e232e6ae6d4b5e2712c901ef3c9bcbc6542441f,9
0x784770d2230cd937fecbe81d9dee618270b4d569,4
0xbb307b0d05378a932f75d5ac2e65d71f48b7b631,2
0x0317b899d2886d515718495c3317e25b3134d55d,2
0x48272c40e98429a9092356f6e4eebbd45c760a5c,14
0xcd0b67a61e5e8f4616c19e421e929813b6d947df,11
0x3a5f1948084edd611240c963fcab7e06791a6497,1
0xae90acba7f4cde2f24dc103c2e4ecf2fc94e0f0d,1
0x62a2cb7a5979d8a25828e0a24a88258f84af6bc3,4
0xe7ff533b8b3679fb4022d7702986cca27a85452d,1
